a,b,c,d
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.406250238,0
2.42475009,2.528612614,2.406250238,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.42475009,2.528612614,2.395250082,0
2.431000233,2.528612614,2.396500111,0
2.416750193,2.518106222,2.400500059,0
2.416750193,2.518106222,2.400500059,0
2.416750193,2.518106222,2.400500059,0
2.416750193,2.518106222,2.400500059,0
2.417000055,2.518106222,2.400500059,0
2.419750214,2.518106222,2.400500059,0
2.433500051,2.530149937,2.400500059,0
2.433500051,2.530149937,2.408000231,0
2.434000254,2.530406237,2.410250187,0
2.375000238,2.478899956,2.351750135,0
2.429750204,2.523743868,2.401500225,0
2.429750204,2.523743868,2.401500225,0
2.429750204,2.523743868,2.401500225,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
2.428250074,2.524512529,2.403000116,0
